Timestamp,Measurement,Value,Unit,Type,Blanked,Concentration
0.00,ABSORBANCE,0.155,NONE,NONE,TRUE,25
60.00,ABSORBANCE,0.155,NONE,NONE,TRUE,25
120.00,ABSORBANCE,0.168,NONE,NONE,TRUE,25
180.00,ABSORBANCE,0.174,NONE,NONE,TRUE,25
240.00,ABSORBANCE,0.183,NONE,NONE,TRUE,25
300.00,ABSORBANCE,0.195,NONE,NONE,TRUE,25
360.00,ABSORBANCE,0.203,NONE,NONE,TRUE,25
420.00,ABSORBANCE,0.212,NONE,NONE,TRUE,25
480.00,ABSORBANCE,0.219,NONE,NONE,TRUE,25
540.00,ABSORBANCE,0.226,NONE,NONE,TRUE,25
600.00,ABSORBANCE,0.234,NONE,NONE,TRUE,25
660.00,ABSORBANCE,0.241,NONE,NONE,TRUE,25
720.00,ABSORBANCE,0.247,NONE,NONE,TRUE,25
780.00,ABSORBANCE,0.251,NONE,NONE,TRUE,25
840.00,ABSORBANCE,0.256,NONE,NONE,TRUE,25
900.00,ABSORBANCE,0.262,NONE,NONE,TRUE,25
960.00,ABSORBANCE,0.264,NONE,NONE,TRUE,25
1020.00,ABSORBANCE,0.27,NONE,NONE,TRUE,25
1080.00,ABSORBANCE,0.275,NONE,NONE,TRUE,25
1140.00,ABSORBANCE,0.278,NONE,NONE,TRUE,25
1200.00,ABSORBANCE,0.282,NONE,NONE,TRUE,25
1260.00,ABSORBANCE,0.289,NONE,NONE,TRUE,25
1320.00,ABSORBANCE,0.287,NONE,NONE,TRUE,25
1380.00,ABSORBANCE,0.291,NONE,NONE,TRUE,25
1440.00,ABSORBANCE,0.29,NONE,NONE,TRUE,25
1500.00,ABSORBANCE,0.296,NONE,NONE,TRUE,25
1560.00,ABSORBANCE,0.299,NONE,NONE,TRUE,25
1620.00,ABSORBANCE,0.307,NONE,NONE,TRUE,25
1680.00,ABSORBANCE,0.304,NONE,NONE,TRUE,25
1740.00,ABSORBANCE,0.304,NONE,NONE,TRUE,25
