Timestamp,Measurement,Value,Unit,Type,Blanked,Absorbance
0.00,ABSORBANCE,0.165,NONE,NONE,TRUE,50
60.00,ABSORBANCE,0.165,NONE,NONE,TRUE,50
120.00,ABSORBANCE,0.188,NONE,NONE,TRUE,50
180.00,ABSORBANCE,0.197,NONE,NONE,TRUE,50
240.00,ABSORBANCE,0.224,NONE,NONE,TRUE,50
300.00,ABSORBANCE,0.226,NONE,NONE,TRUE,50
360.00,ABSORBANCE,0.238,NONE,NONE,TRUE,50
420.00,ABSORBANCE,0.25,NONE,NONE,TRUE,50
480.00,ABSORBANCE,0.26,NONE,NONE,TRUE,50
540.00,ABSORBANCE,0.268,NONE,NONE,TRUE,50
600.00,ABSORBANCE,0.275,NONE,NONE,TRUE,50
660.00,ABSORBANCE,0.286,NONE,NONE,TRUE,50
720.00,ABSORBANCE,0.292,NONE,NONE,TRUE,50
780.00,ABSORBANCE,0.299,NONE,NONE,TRUE,50
840.00,ABSORBANCE,0.301,NONE,NONE,TRUE,50
900.00,ABSORBANCE,0.311,NONE,NONE,TRUE,50
960.00,ABSORBANCE,0.316,NONE,NONE,TRUE,50
1020.00,ABSORBANCE,0.321,NONE,NONE,TRUE,50
1080.00,ABSORBANCE,0.327,NONE,NONE,TRUE,50
1140.00,ABSORBANCE,0.332,NONE,NONE,TRUE,50
1200.00,ABSORBANCE,0.336,NONE,NONE,TRUE,50
1260.00,ABSORBANCE,0.339,NONE,NONE,TRUE,50
1320.00,ABSORBANCE,0.344,NONE,NONE,TRUE,50
1380.00,ABSORBANCE,0.35,NONE,NONE,TRUE,50
1440.00,ABSORBANCE,0.349,NONE,NONE,TRUE,50
1500.00,ABSORBANCE,0.353,NONE,NONE,TRUE,50
1560.00,ABSORBANCE,0.358,NONE,NONE,TRUE,50
1620.00,ABSORBANCE,0.364,NONE,NONE,TRUE,50
1680.00,ABSORBANCE,0.362,NONE,NONE,TRUE,50
1740.00,ABSORBANCE,0.365,NONE,NONE,TRUE,50
